Step: 11800, Loss: 0.6830288171768188
Step: 11900, Loss: 0.681602954864502
Step: 12000, Loss: 0.6979809403419495
Validation Loss: 3.0782294273376465, Perplexity: 21.719911575317383
Step: 12100, Loss: 0.6877623200416565
Step: 12200, Loss: 0.6744526624679565
Step: 12300, Loss: 0.6674456000328064
Step: 12400, Loss: 0.6742547750473022
Step: 12500, Loss: 0.672211229801178
Validation Loss: 3.0513319969177246, Perplexity: 21.14348793029785
Step: 12600, Loss: 0.6662424802780151
Step: 12700, Loss: 0.6666573882102966
Step: 12800, Loss: 0.6496326923370361
Step: 12900, Loss: 0.6443475484848022
Step: 13000, Loss: 0.6865535974502563
Validation Loss: 3.0629043579101562, Perplexity: 21.389589309692383
Step: 13100, Loss: 0.6560136675834656
Step: 13200, Loss: 0.662919819355011
Step: 13300, Loss: 0.6395466327667236
Step: 13400, Loss: 0.6419070959091187
Step: 13500, Loss: 0.644184947013855
Validation Loss: 3.007185935974121, Perplexity: 20.230390548706055
Step: 13600, Loss: 0.6270351409912109
Step: 13700, Loss: 0.6572522521018982
Step: 13800, Loss: 0.6513603925704956
